enunciado,area
"
QUESTÃO 11
TEXTO I
Disponível em: http://portal.iphan.gov.br. Acesso em: 6 abr. 2016.
TEXTO II
A eleição dos novos bens, ou melhor, de novas 
formas de se conceber a condição do patrimônio cultural 
nacional, também permite que diferentes grupos sociais, 
utilizando as leis do Estado e o apoio de especialistas, 
revejam as imagens e alegorias do seu passado, do que 

ABREU, M.; SOIHET, R.; GONTIJO, R. (Org.). Cultura política e leituras do passado:
. Rio de Janeiro: Civilização Brasileira, 2007.
O texto chama a atenção para a importância da proteção 
de bens que, como aquele apresentado na imagem, se 

A Artefatos sagrados.
B Heranças materiais.
C Objetos arqueológicos.
D Peças comercializáveis.
E Conhecimentos tradicionais.",ciências humanas
"
QUESTÃO 12
No início de maio de 2014, a instalação da 
plataforma petrolífera de perfuração HYSY-981 nas 
águas contestadas do Mar da China Meridional 
suscitou especulações sobre as motivações chinesas. 
Na avaliação de diversos observadores ocidentais, 
Pequim pretendeu, com esse gesto, demonstrar que 
pode impor seu controle e dissuadir outros países de 
seguir com suas reivindicações de direito de exploração 
dessas águas, como é o caso do Vietnã e das Filipinas.
KLARE, M.T. A guerra pelo petróleo se joga no mar. Le Monde Diplomatique Brasil, abr. 2015.
A ação da China em relação à situação descrita no texto 

A Distribuição das zonas econômicas especiais.
B Monopólio das inovações tecnológicas extrativas.
C Dinamização da atividade comercial. 
D Jurisdição da soberania territorial.
E Embargo da produção industrial.",ciências humanas
"
QUESTÃO 13
A Operação Condor está diretamente vinculada 
às experiências históricas das ditaduras civil-militares 
que se disseminaram pelo Cone Sul entre as décadas 
de 1960 e 1980. Depois do Brasil (e do Paraguai de 
Stroessner), foi a vez da Argentina (1966), Bolívia 
(1966 e 1971), Uruguai e Chile (1973) e Argentina 
(novamente, em 1976). Em todos os casos se 
instalaram ditaduras civil-militares (em menor ou 
maior medida) com base na Doutrina de Segurança 
Nacional e tendo como principais características um 
anticomunismo militante, a identificação do inimigo 
interno, a imposição do papel político das Forças 
Armadas e a definição de fronteiras ideológicas.
PADRÓS, E. S. et al. Ditadura de Segurança Nacional no Rio Grande do Sul (1964-1985):
história e memória. Porto Alegre: Corag, 2009 (adaptado).
Levando-se em conta o contexto em que foi criada, a 
referida operação tinha como objetivo coordenar a
A 
B 
C interferência de potências mundiais.
D repressão de ativistas oposicionistas.
E implantação de governos nacionalistas.",ciências humanas
"
QUESTÃO 14
A regulação das relações de trabalho compõe uma 
estrutura complexa, em que cada elemento se ajusta aos 
demais. A Justiça do Trabalho é apenas uma das peças 
dessa vasta engrenagem. A presença de representantes 
classistas na composição dos órgãos da Justiça do 
Trabalho é também resultante da montagem dessa 
      
característica. Instituída pela Constituição de 1934, a 
Justiça do Trabalho só vicejou no ambiente político do 
Estado Novo instaurado em 1937.
ROMITA, A. S. Justiça do Trabalho: produto do Estado Novo. In: PANDOLFI, D. (Org.). 
Repensando o Estado Novo. Rio de Janeiro: Editora FGV, 1999.
A criação da referida instituição estatal na conjuntura 
histórica abordada teve por objetivo 
A legitimar os protestos fabris. 
B 
C 
D assegurar os princípios liberais.
E 



CH - 1º dia | Caderno 1 - AZUL - Página 6
*AZUL75SAB6*",ciências humanas
"
QUESTÃO 15
Hoje, a indústria cultural assumiu a herança civilizatória da democracia de pioneiros e empresários, que tampouco 

mesmo modo que, desde a neutralização histórica da religião, são livres para entrar em qualquer uma das inúmeras 

setores como a liberdade de escolher o que é sempre a mesma coisa.
ADORNO, T; HORKHEIMER, M. Dialética do esclarecimento
A liberdade de escolha na civilização ocidental, de acordo com a análise do texto, é um(a)
A legado social.
B patrimônio político.
C produto da moralidade.
D conquista da humanidade.
E ilusão da contemporaneidade.",ciências humanas
"
QUESTÃO 16

Vietnã
Cingapura
Brunei Darussalam
Malásia
Austrália
Japão
Nova Zelândia
Chile
Peru
México
Estados Unidos
Canadá
Disponível em: http://portuguese.brazil.usembassy.gov. Acesso em: 11 maio 2016 (adaptado).
Dentro das atuais redes produtivas, o referido bloco apresenta composição estratégica por se tratar de um conjunto 
de países com
A elevado padrão social.
B sistema monetário integrado.
C alto desenvolvimento tecnológico.
D identidades culturais semelhantes.
E vantagens locacionais complementares.



CH - 1º dia | Caderno 1 - AZUL - Página 7
*AZUL75SAB7*",ciências humanas
"
QUESTÃO 17
Disponível em: www.unric.org. Acesso em: 9 ago. 2013.


A
B
C
D
E",ciências humanas
"
QUESTÃO 18
Segundo a Conferência de Quioto, os países 
centrais industrializados, responsáveis históricos pela 
poluição, deveriam alcançar a meta de redução de 
5,2% do total de emissões segundo níveis de 1990. 
O nó da questão é o enorme custo desse processo, 
demandando mudanças radicais nas indústrias para 
que se adaptem rapidamente aos limites de emissão 
estabelecidos e adotem tecnologias energéticas limpas. 
A comercialização internacional de créditos de sequestro 
ou de redução de gases causadores do efeito estufa 
foi a solução encontrada para reduzir o custo global do 
processo. Países ou empresas que conseguirem reduzir 
as emissões abaixo de suas metas poderão vender este 
crédito para outro país ou empresa que não consiga.
BECKER, B. Amazônia: geopolítica na virada do II milênio. Rio de Janeiro: Garamond, 2009.
As posições contrárias à estratégia de compensação 
presente no texto relacionam-se à ideia de que
ela promove
A retração nos atuais níveis de consumo.
B 
C diminuição dos lucros na produção de energia.
D desigualdade na distribuição do impacto ecológico.
E decréscimo 
dos 
índices 
de 
desenvolvimento 
econômico.",ciências humanas
"
QUESTÃO 19
Dados recentes mostram que muitos são os 
países periféricos que dependem dos recursos 
enviados pelos imigrantes que estão nos países 
centrais. Grande parte dos países da América Latina, 
por exemplo, depende hoje das remessas de seus 
imigrantes. Para se ter uma ideia mais concreta, 
recentes dados divulgados pela ONU revelaram 
que somente os indianos recebem 10 bilhões de 
dólares de seus compatriotas no exterior. No México, 
segundo maior volume de divisas, esse valor chega 
a 9,9 bilhões de dólares e nas Filipinas, o terceiro, a 
8,4 bilhões.
HAESBAERT, R.; PORTO-GONÇALVES, C. W. A nova des-ordem mundial.
São Paulo: Edunesp, 2006.
Um aspecto do mundo globalizado que facilitou a 
ocorrência do processo descrito, na transição do 
século XX para o século XXI, foi o(a)
A integração de culturas distintas.
B avanço técnico das comunicações.
C quebra de barreiras alfandegárias.
D 
E desconcentração espacial da produção.



CH - 1º dia | Caderno 1 - AZUL - Página 8
*AZUL75SAB8*",ciências humanas
"
QUESTÃO 20
Nunca nos tornaremos matemáticos, por exemplo, 
embora nossa memória possua todas as demonstrações 
feitas por outros, se nosso espírito não for capaz de 
resolver toda espécie de problemas; não nos tornaríamos 
         
Aristóteles, sem poder formular um juízo sólido sobre 
o que nos é proposto. Assim, de fato, pareceríamos ter 
aprendido, não ciências, mas histórias.
DESCARTES, R. Regras para a orientação do espírito. São Paulo: Martins Fontes, 1999.
Em sua busca pelo saber verdadeiro, o autor considera o 
conhecimento, de modo crítico, como resultado da
A investigação de natureza empírica.
B retomada da tradição intelectual.
C imposição de valores ortodoxos.
D autonomia do sujeito pensante.
E liberdade do agente moral.",ciências humanas
"
QUESTÃO 21
Pois quem seria tão inútil ou indolente a ponto 
de não desejar saber como e sob que espécie de 
constituição os romanos conseguiram em menos de 
cinquenta e três anos submeter quase todo o mundo 
habitado ao seu governo exclusivo — fato nunca antes 
ocorrido? Ou, em outras palavras, quem seria tão 
apaixonadamente devotado a outros espetáculos ou 
estudos a ponto de considerar qualquer outro objetivo 
mais importante que a aquisição desse conhecimento?
POLÍBIO. História. Brasília: Editora UnB, 1985.
A experiência a que se refere o historiador Políbio, nesse 
texto escrito no século II a.C., é a
A ampliação do contingente de camponeses livres.
B consolidação do poder das falanges hoplitas.
C concretização do desígnio imperialista.
D adoção do monoteísmo cristão.
E libertação do domínio etrusco.",ciências humanas
"
QUESTÃO 22
SATRAPI, M. Persépolis. São Paulo: Cia. das Letras, 2007 (adaptado).
A memória recuperada pela autora apresenta a 
relação entre
A 
B organização familiar e proteção à infância.
C centralização econômica e pregação religiosa.
D estrutura educacional e desigualdade de renda.
E ",ciências humanas
"
QUESTÃO 23
TEXTO I
Fragmento B91: Não se pode banhar duas vezes no 
mesmo rio, nem substância mortal alcançar duas vezes 
a mesma condição; mas pela intensidade e rapidez da 
mudança, dispersa e de novo reúne.
HERÁCLITO. Fragmentos (Sobre a natureza). São Paulo: Abril Cultural, 1996 (adaptado).
TEXTO II
Fragmento B8: São muitos os sinais de que o ser 
é ingênito e indestrutível, pois é compacto, inabalável 
           
homogêneo, uno, contínuo. Como poderia o que é 
perecer? Como poderia gerar-se?
PARMÊNIDES. Da natureza. São Paulo: Loyola, 2002 (adaptado).
Os fragmentos do pensamento pré-socrático expõem 
uma oposição que se insere no campo das
A investigações do pensamento sistemático.
B preocupações do período mitológico.
C discussões de base ontológica.
D habilidades da retórica sofística.
E verdades do mundo sensível.



CH - 1º dia | Caderno 1 - AZUL - Página 9
*AZUL75SAB9*",ciências humanas
"
QUESTÃO 24
      
        
meio de argumentação razoável, tentar chegar a um 
acordo sobre as políticas que seja satisfatório para 

à deliberação por acreditar que, no mundo real da 
     
procedimentos e resultados, processos democráticos 
que parecem cumprir as normas de deliberação 
      
poderosos. Ela recomenda, portanto, que aqueles que 
se preocupam com a promoção de mais justiça devem 
realizar principalmente a atividade de oposição crítica, 
em vez de tentar chegar a um acordo com quem sustenta 


Revista Brasileira de Ciência Política, n. 13, jan.-abr. 2014.
As concepções de democracia deliberativa e de 
democracia ativista apresentadas no texto tratam como 
imprescindíveis, respectivamente,
A a decisão da maioria e a uniformização de direitos.
B a organização de eleições e o movimento anarquista.
C a obtenção do consenso e a mobilização das minorias.
D a fragmentação da participação e a desobediência civil.
E a imposição de resistência e o monitoramento da 
liberdade.",ciências humanas
"
QUESTÃO 25
A promessa da tecnologia moderna se converteu 
em uma ameaça, ou esta se associou àquela de forma 
indissolúvel. Ela vai além da constatação da ameaça 
física. Concebida para a felicidade humana, a submissão 
da natureza, na sobremedida de seu sucesso, que agora 
se estende à própria natureza do homem, conduziu 
         
própria ação. O novo continente da práxis coletiva que 
adentramos com a alta tecnologia ainda constitui, para a 
teoria ética, uma terra de ninguém.
JONAS, H. O princípio da responsabilidade. Rio de Janeiro: 
Contraponto; Editora PUC-Rio, 2011 (adaptado).
As implicações éticas da articulação apresentada no texto 
impulsionam a necessidade de construção de um novo 
padrão de comportamento, cujo objetivo consiste em 
garantir o(a)
A pragmatismo da escolha individual.
B sobrevivência de gerações futuras.
C fortalecimento de políticas liberais.
D valorização de múltiplas etnias.
E promoção da inclusão social.",ciências humanas
"
QUESTÃO 26
TEXTO I
Imagem de São Benedito. Disponível em: http://acervo.bndigital.bn.br.
 Acesso em: 6 jan. 2016 (adaptado).
TEXTO II
Os santos tornaram-se grandes aliados da Igreja para 
atrair novos devotos, pois eram obedientes a Deus e ao 
poder clerical. Contando e estimulando o conhecimento 

ensinamentos que julgava corretos e que deviam ser 
imitados por escravos que, em geral, traziam outras 
crenças de suas terras de origem, muito diferentes das 
que preconizava a fé católica.
OLIVEIRA, A. J. Negra devoção. Revista de História da Biblioteca Nacional,
 n. 20, maio 2007 (adaptado).
     
irmandades e no contato com outra matriz religiosa, o 
ícone e a prática mencionada no texto estiveram desde 
o século XVII relacionados a um esforço da Igreja 
Católica para
A reduzir o poder das confrarias.
B cristianizar a população afro-brasileira.
C espoliar recursos materiais dos cativos.
D recrutar libertos para seu corpo eclesiástico.
E atender a demanda popular por padroeiros locais.



CH - 1º dia | Caderno 1 - AZUL - Página 10
*AZUL75SAB10*",ciências humanas
"
QUESTÃO 27
Em 1935, o governo brasileiro começou a negar vistos 
a judeus. Posteriormente, durante o Estado Novo, uma 
circular secreta proibiu a concessão de vistos a “pessoas 
de origem semita”, inclusive turistas e negociantes, o que 
causou uma queda de 75% da imigração judaica ao longo 
daquele ano. Entretanto, mesmo com as imposições da 
lei, muitos judeus continuaram entrando ilegalmente no 
país durante a guerra e as ameaças de deportação em 
massa nunca foram concretizadas, apesar da extradição 
de alguns indivíduos por sua militância política.
GRIMBERG, K. Nova língua interior: 500 anos de história dos judeus no Brasil. In: IBGE. 
Brasil: 500 anos de povoamento. Rio de Janeiro: IBGE, 2000 (adaptado).
Uma razão para a adoção da política de imigração 
mencionada no texto foi o(a)
A receio do controle sionista sobre a economia nacional.
B reserva de postos de trabalho para a mão de obra 
local.
C oposição do clero católico à expansão de novas 
religiões.
D apoio da diplomacia varguista às opiniões dos 
líderes árabes.
E simpatia de membros da burocracia pelo projeto 
totalitário alemão.",ciências humanas
"
QUESTÃO 28
       
justo ou injusto; e que, da mesma maneira, nada existe do 
ponto de vista da verdade; que os homens agem apenas 
segundo a lei e o costume, nada sendo mais isto do que 
aquilo. Ele levou uma vida de acordo com esta doutrina, 
nada procurando evitar e não se desviando do que quer 
que fosse, suportando tudo, carroças, por exemplo, 
precipícios, cães, nada deixando ao arbítrio dos sentidos.
LAÉRCIO, D. . Brasília: Editora UnB, 1988.
O ceticismo, conforme sugerido no texto, caracteriza-se por:
A Desprezar quaisquer convenções e obrigações 
da sociedade.
B Atingir o verdadeiro prazer como o princípio e o 
fim da vida feliz. 
C Defender a indiferença e a impossibilidade de 
obter alguma certeza.
D Aceitar o determinismo e ocupar-se com a 
esperança transcendente.
E 
homem bom e belo.",ciências humanas
"
QUESTÃO 29
O conceito de função social da cidade incorpora a 
organização do espaço físico como fruto da regulação 
social, isto é, a cidade deve contemplar todos os seus 
moradores e não somente aqueles que estão no mercado 
formal da produção capitalista da cidade. A tradição dos 

sempre partiram do pressuposto de que a cidade não tem 
divisões entre os incluídos e os excluídos socialmente.
QUINTO JR., L. P. Nova legislação urbana e os velhos fantasmas.
Estudos Avançados (USP), n. 47, 2003 (adaptado).
Uma política governamental que contribui para viabilizar a 
função social da cidade, nos moldes indicados no texto, é a
A 





periféricos.
B implantação de centros comerciais em eixos 
rodoviários.
C proibição de construções residenciais em regiões 
íngremes.
D disseminação de equipamentos culturais em locais 
turísticos.
E desregulamentação do setor imobiliário em áreas 
favelizadas.",ciências humanas
"
QUESTÃO 30
O bioma Cerrado foi considerado recentemente 
um dos 25 hotspots de biodiversidade do mundo, 
segundo uma análise em escala mundial das regiões 
     
conservação. O conceito de hotspot foi criado tendo 
em vista a escassez de recursos direcionados para 
conservação, com o objetivo de apresentar os chamados 
“pontos quentes”, ou seja, locais para os quais existe 
maior necessidade de direcionamento de esforços, 
buscando evitar a extinção de muitas espécies que 
estão altamente ameaçadas por ações antrópicas.
PINTO, P. P.; DINIZ-FILHO, J. A. F. In: ALMEIDA, M. G. (Org.). Tantos cerrados:
múltiplas abordagens sobre a biogeodiversidade e singularidade cultural.
Goiânia: Vieira, 2005 (adaptado).
A necessidade desse tipo de ação na área mencionada 
tem como causa a
A 
B implantação de parques ecológicos.
C exploração dos recursos minerais.
D elevação do extrativismo vegetal.
E expansão da fronteira agrícola.



CH - 1º dia | Caderno 1 - AZUL - Página 11
*AZUL75SAB11*",ciências humanas
"
QUESTÃO 31
TEXTO I
Mais de 50 mil refugiados entraram no território 
húngaro apenas no primeiro semestre de 2015. 
Budapeste lançou os “trabalhos preparatórios” para a 
construção de um muro de quatro metros de altura e 
175 km ao longo de sua fronteira com a Sérvia, informou 
o ministro húngaro das Relações Exteriores. “Uma 
        
imigração é muito demorada, e a Hungria não pode 


TEXTO II
O Alto Comissariado das Nações Unidas para 
Refugiados (ACNUR) critica as manifestações de 
xenofobia adotadas pelo governo da Hungria. O país foi 
invadido por cartazes nos quais o chefe do executivo insta 
os imigrantes a respeitarem as leis e a não “roubarem” 
os empregos dos húngaros. Para o ACNUR, a medida é 
surpreendente, pois a xenofobia costuma ser instigada 
por pequenos grupos radicais e não pelo próprio governo 
do país.
Disponível em: http://pt.euronews.com. Acesso em: 19 jun. 2015 (adaptado).
O posicionamento governamental citado nos textos é 
criticado pelo ACNUR por ser considerado um caminho 
para o(a)
A alteração do regime político.
B fragilização da supremacia nacional.
C 
D cerceamento da liberdade de expressão.
E fortalecimento das práticas de discriminação.",ciências humanas
"
QUESTÃO 32
A sociologia ainda não ultrapassou a era das 
       
assumir a tarefa de lançar luz sobre uma parcela restrita 
do campo social, ela prefere buscar as brilhantes 
generalidades em que todas as questões são levantadas 
sem 
que 
nenhuma 
seja 
expressamente 
tratada.
Não é com exames sumários e por meio de intuições 
rápidas que se pode chegar a descobrir as leis de uma 
realidade tão complexa. Sobretudo, generalizações às 
vezes tão amplas e tão apressadas não são suscetíveis 
de nenhum tipo de prova. 
DURKHEIM, E. O suicídio: estudo de sociologia. São Paulo: Martins Fontes, 2000.
O texto expressa o esforço de Émile Durkheim em 
construir uma sociologia com base na
A 
B reunião de percepções intuitivas para demonstração.
C formulação de hipóteses subjetivas sobre a vida 
social.
D adesão aos padrões de investigação típicos das 
ciências naturais.
E incorporação de um conhecimento alimentado pelo 
engajamento político.",ciências humanas
"
QUESTÃO 33
Disponível em: www.imageforum-diffusion.afp.com. Acesso em: 6 jan. 2016.
O regime do Apartheid adotado de 1948 a 1994 na 
África do Sul fundamentava-se em ações estatais de 
segregacionismo racial. Na imagem, fuzileiros navais 
fazem valer a “lei do passe” que regulamentava o(a)
A concentração fundiária, impedindo os negros de 
tomar posse legítima do uso da terra.
B boicote econômico, proibindo os negros de consumir 
produtos ingleses sem resistência armada.
C sincretismo religioso, vetando os ritos sagrados dos 

D controle sobre a movimentação, desautorizando 
os negros a transitar em determinadas áreas das 
cidades.
E exclusão do mercado de trabalho, negando à 
população negra o acesso aos bens de consumo.",ciências humanas
"
QUESTÃO 34
A linhagem dos primeiros críticos ambientais 
brasileiros não praticou o elogio laudatório da beleza e 
da grandeza do meio natural brasileiro. O meio natural foi 
elogiado por sua riqueza e potencial econômico, sendo 
sua destruição interpretada como um signo de atraso, 
ignorância e falta de cuidado.
PÁDUA, J. A. Um sopro de destruição: pensamento político e crítica ambiental no Brasil 
escravista (1786-1888). Rio de Janeiro: Zahar, 2002 (adaptado).
Descrevendo a posição dos críticos ambientais brasileiros 
dos séculos XVIII e XIX, o autor demonstra que, via de 
regra, eles viam o meio natural como
A ferramenta essencial para o avanço da nação.
B dádiva divina para o desenvolvimento industrial.
C paisagem privilegiada para a valorização fundiária.
D 
E obstáculo climático para o estabelecimento da 
civilização.



CH - 1º dia | Caderno 1 - AZUL - Página 12
*AZUL75SAB12*",ciências humanas
"
QUESTÃO 35

fortalecimento do poder do Estado antes que o predomínio do coronel. Nessa concepção, o coronelismo é, então, um 
sistema político nacional, com base em barganhas entre o governo e os coronéis. O coronel tem o controle dos cargos 
públicos, desde o delegado de polícia até a professora primária. O coronel hipoteca seu apoio ao governo, sobretudo 
na forma de voto.
CARVALHO, J. M. Pontos e bordados: escritos de história política. Belo Horizonte: Editora UFMG, 1998 (adaptado).
No contexto da Primeira República no Brasil, as relações políticas descritas baseavam-se na
A coação das milícias locais.
B estagnação da dinâmica urbana.
C valorização do proselitismo partidário.
D disseminação de práticas clientelistas.
E centralização de decisões administrativas.",ciências humanas
